,CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV
0,2564,1,United States,California,Los Angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,1,N,No,No,2.0,Yes,No,DSL,Yes,Yes,No,0,No,No,0,Yes,Mailed check,74.55,1538.25,,1,86,3239
1,6511,1,United States,California,Los Angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,0,N,No,Yes,34.0,Yes,No,Fiber optic,No,No,No,0,No,No,0,Yes,Electronic check,70.7,151.65,Yes,1,67,2701
2,6551,1,United States,California,Los Angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,0,N,No,Yes,34.0,Yes,Yes,Fiber optic,No,No,Yes,0,Yes,Yes,0,Yes,Electronic check,99.65,820.5,,1,86,5372
3,5604,1,United States,California,Los Angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,0,N,Yes,Yes,28.0,Yes,Yes,Fiber optic,No,No,Yes,1,Yes,Yes,0,Yes,Electronic check,104.8,3046.05,,1,84,5003
4,174,1,United States,California,Los Angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,0,N,No,Yes,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,0,Yes,Yes,0,Yes,Bank transfer (automatic),74.55,5036.3,Yes,1,89,5340
5,2937,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,0,N,Yes,No,34.0,Yes,No,DSL,No,No,Yes,1,No,No,0,No,Credit card (automatic),74.55,528.35,Yes,1,78,5925
6,6207,1,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,0,Y,No,No,1.0,No,No phone service,DSL,No,No,Yes,0,No,Yes,0,Yes,Electronic check,39.65,39.65,,1,100,5433
7,723,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,0,N,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,0,No internet service,No internet service,0,No,Mailed check,20.15,20.15,Yes,1,92,4832
8,4584,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,1,n,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,0,Yes,Yes,0,Yes,Electronic check,99.35,4749.15,,1,77,5789
9,6119,1,United States,California,Los Angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,0,N,Yes,No,1.0,No,No phone service,DSL,No,Yes,No,0,No,No,0,No,Electronic check,30.2,30.2,Yes,1,817,2915
10,6199,1,United States,California,Los Angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,0,N,No,No,17.0,Yes,No,DSL,No,No,No,0,Yes,Yes,0,Yes,Mailed check,74.55,1093.1,Yes,1,74,3022
11,4292,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,0,N,No,Yes,5.0,Yes,No,Fiber optic,No,No,No,0,No,No,0,Yes,Electronic check,74.55,8784.8,Yes,1,66,2454
12,3828,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,1,N,No,Yes,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,0,Yes,Yes,0,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941
13,5803,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,0,N,No,Yes,11.0,Yes,Yes,Fiber optic,No,No,Yes,0,Yes,Yes,0,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674
14,5510,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,1,N,No,Yes,2.0,Yes,No,Fiber optic,No,No,No,0,Yes,No,0,Yes,Electronic check,80.65,144.15,Yes,1,90,5586
15,6630,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,0,N,No,Yes,34.0,Yes,No,Fiber optic,Yes,Yes,No,0,Yes,Yes,0,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966
16,5305,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,0,Y,Yes,Yes,8.0,Yes,Yes,Fiber optic,No,Yes,No,0,No,No,0,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302
17,1129,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,1,Y,No,Yes,18.0,Yes,Yes,Fiber optic,No,No,No,0,Yes,Yes,0,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179
18,4043,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,0,N,No,Yes,9.0,Yes,Yes,Fiber optic,No,No,No,0,Yes,Yes,0,No,Electronic check,94.4,857.25,Yes,1,96,5571
19,4191,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,1,y,No,Yes,34.0,Yes,No,Fiber optic,No,No,No,0,Yes,No,0,Yes,Electronic check,825.0,79.35,,1,87,2483
20,6488,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,0,N,Yes,Yes,7.0,Yes,No,Fiber optic,No,No,Yes,0,No,No,0,Yes,Bank transfer (automatic),75.15,1538.25,,1,70,3457
21,6099,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,1,N,No,Yes,12.0,Yes,Yes,Fiber optic,Yes,No,No,0,No,No,0,Yes,Electronic check,74.55,927.35,Yes,1,86,5806
22,173,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,1,N,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,0,No internet service,No internet service,0,No,Mailed check,74.55,113.85,Yes,1,66,2604
23,3208,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,1,Y,Yes,Yes,25.0,Yes,No,Fiber optic,No,Yes,Yes,0,Yes,Yes,0,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337
24,2233,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,1,N,Yes,No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,1,Yes,Yes,1,Yes,Bank transfer (automatic),74.55,7611.85,Yes,1,86,5034
25,327,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,1,N,Yes,Yes,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,0,Yes,No,0,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154
26,3419,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,0,Y,Yes,Yes,37.0,Yes,Yes,Fiber optic,No,No,No,0,No,No,0,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793
27,3763,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,1,y,Yes,Yes,10.0,Yes,Yes,Fiber optic,Yes,No,No,0,Yes,Yes,0,Yes,Electronic check,100.25,1064.65,,1,87,5998
28,274,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,1,N,No,Yes,3.0,Yes,Yes,Fiber optic,No,No,No,0,No,No,0,Yes,Electronic check,74.55,229.55,Yes,1,76,4415
29,3079,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,1,Y,No,Yes,27.0,Yes,Yes,Fiber optic,No,No,Yes,0,No,No,0,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638
30,4403,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,1,N,Yes,No,34.0,No,No phone service,DSL,Yes,Yes,Yes,0,Yes,Yes,0,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190
31,2158,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,1,y,No,No,1.0,No,No phone service,DSL,No,No,No,0,No,Yes,0,Yes,Electronic check,35.45,35.45,,1,80,2301
32,1632,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,1,N,No,No,638.0,Yes,No,DSL,No,No,No,0,No,No,0,No,Electronic check,44.35,81.25,Yes,1,76,2570
33,262,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,0,y,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No,0,No,No,0,Yes,Mailed check,70.45,1538.25,Yes,1,76,3964
34,2863,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,0,N,No,No,8.0,Yes,Yes,DSL,Yes,No,No,1,No,Yes,0,No,Electronic check,71.15,563.65,Yes,1,66,2662
35,1446,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,1,N,No,No,738.0,Yes,No,DSL,No,No,No,0,No,No,0,Yes,Electronic check,74.55,45.65,Yes,1,73,2600
36,2724,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,1,N,No,Yes,638.0,Yes,Yes,Fiber optic,No,No,No,0,Yes,Yes,0,No,Mailed check,925.0,655.5,Yes,1,94,2786
37,589,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,0,N,Yes,Yes,34.0,Yes,Yes,Fiber optic,Yes,No,No,0,No,No,0,No,Electronic check,74.55,1592.35,Yes,1,86,5719
38,2359,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,1,N,No,Yes,4.0,Yes,No,Fiber optic,No,No,No,0,No,No,0,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,75,4287
39,2406,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,0,Y,Yes,No,738.0,No,No phone service,DSL,No,Yes,Yes,0,No,Yes,0,Yes,Electronic check,74.55,2651.2,Yes,1,100,5444
40,1269,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,0,N,Yes,Yes,2.0,Yes,Yes,Fiber optic,No,No,Yes,1,Yes,Yes,0,Yes,Electronic check,925.0,242.8,Yes,1,83,4690
41,475,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,0,N,Yes,No,34.0,Yes,No,Fiber optic,No,No,Yes,0,Yes,Yes,1,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328
42,1818,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,0,Y,No,Yes,15.0,Yes,Yes,Fiber optic,No,No,No,0,No,No,0,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717
43,1398,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,0,Y,No,Yes,7.0,Yes,No,Fiber optic,Yes,No,No,0,No,No,0,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419
44,4476,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,0,N,No,No,1.0,No,No phone service,DSL,No,Yes,No,0,No,No,0,No,Bank transfer (automatic),74.55,29.95,,1,95,4534
45,6592,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,0,N,No,Yes,8.0,Yes,Yes,Fiber optic,No,No,No,0,No,Yes,0,No,Bank transfer (automatic),84.5,662.65,,1,86,2152
46,1288,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,1,N,No,Yes,13.0,Yes,No,Fiber optic,No,Yes,Yes,0,No,No,0,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142
47,692,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,1,N,Yes,No,34.0,No,No phone service,DSL,No,No,No,0,No,No,0,Yes,Electronic check,74.55,24.8,Yes,1,94,4851
48,1695,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,1,N,Yes,Yes,6.0,Yes,No,Fiber optic,No,Yes,Yes,0,No,Yes,0,Yes,Electronic check,74.55,531.0,Yes,1,94,2283
49,884,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,1,n,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,0,No,Yes,0,No,Electronic check,74.55,79.9,Yes,1,817,3394
50,5558,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,1,N,No,Yes,19.0,Yes,No,Fiber optic,Yes,No,Yes,1,Yes,Yes,0,Yes,Electronic check,106.6,1934.45,,1,71,6600
51,5567,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,0,N,No,No,738.0,Yes,No,DSL,No,No,No,0,No,No,0,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667
52,6621,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,0,N,No,Yes,34.0,Yes,No,Fiber optic,No,No,No,0,No,No,0,Yes,Electronic check,925.0,268.35,Yes,1,817,6600
53,507,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,1,N,Yes,No,4.0,Yes,No,DSL,No,No,No,1,No,No,0,No,Mailed check,50.05,179.35,,1,82,3394
54,1521,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,1,N,Yes,No,638.0,Yes,No,DSL,No,No,No,0,Yes,No,0,No,Mailed check,55.2,55.2,Yes,1,81,3638
